NestID,DateTime,DateTime_hack,LW,RW,Date_hack,LW_corr,RW_corr,LW_assn,RW_assn
1.000000,2003-02-08 08:51:59,2003-02-08 20:51:59,A,A,2003-02-08,A,A,A,A
1.000000,2003-02-08 16:44:00,2003-02-09 04:44:00,A,A,2003-02-09,B,A,B,A
1.000000,2003-02-09 16:05:59,2003-02-10 04:05:59,A,A,2003-02-10,B,A,B,A
1.000000,2003-02-10 16:08:00,2003-02-11 04:08:00,A,A,2003-02-11,B,A,B,A
1.000000,2003-02-11 16:26:00,2003-02-12 04:26:00,A,A,2003-02-12,B,A,B,A
1.000000,2003-02-12 16:40:00,2003-02-13 04:40:00,A,A,2003-02-13,D,D,B,A
1.000000,2003-02-13 16:04:00,2003-02-14 04:04:00,A,A,2003-02-14,A,B,A,B
1.000000,2003-02-14 16:02:59,2003-02-15 04:02:59,A,A,2003-02-15,B,A,B,A
1.000000,2003-02-15 16:09:00,2003-02-16 04:09:00,A,A,2003-02-16,D,D,A,B
1.000000,2003-02-16 15:44:00,2003-02-17 03:44:00,A,A,2003-02-17,A,B,A,B
1.000000,2003-02-17 16:07:00,2003-02-18 04:07:00,A,A,2003-02-18,A,A,A,A
1.000000,2003-02-18 16:04:00,2003-02-19 04:04:00,A,A,2003-02-19,A,A,A,A
1.000000,2003-02-19 15:43:00,2003-02-20 03:43:00,A,A,2003-02-20,A,A,A,A
1.000000,2003-02-20 15:57:00,2003-02-21 03:57:00,A,A,2003-02-21,A,A,A,A
1.000000,2003-02-21 17:14:00,2003-02-22 05:14:00,A,A,2003-02-22,A,A,A,A
1.000000,2003-02-22 17:28:00,2003-02-23 05:28:00,A,A,2003-02-23,A,A,A,A
1.000000,2003-02-23 15:33:00,2003-02-24 03:33:00,A,A,2003-02-24,A,A,A,A
1.000000,2003-02-24 18:06:00,2003-02-25 06:06:00,A,A,2003-02-25,A,A,A,A
1.000000,2003-02-25 17:15:00,2003-02-26 05:15:00,A,A,2003-02-26,B,A,B,A
1.000000,2003-02-26 16:56:00,2003-02-27 04:56:00,A,A,2003-02-27,A,A,A,A
1.000000,2003-02-27 16:53:00,2003-02-28 04:53:00,A,A,2003-02-28,D,D,A,B
1.000000,2003-02-28 16:46:00,2003-03-01 04:46:00,A,A,2003-03-01,A,A,A,A
1.000000,2003-03-01 16:58:00,2003-03-02 04:58:00,A,A,2003-03-02,A,B,A,B
1.000000,2003-03-02 17:12:00,2003-03-03 05:12:00,A,A,2003-03-03,A,B,A,B
1.000000,2003-03-03 17:10:00,2003-03-04 05:10:00,A,A,2003-03-04,A,B,A,B
1.000000,2003-03-04 16:20:00,2003-03-05 04:20:00,A,A,2003-03-05,A,B,A,B
